iter	Passed	Remaining
0	181	181005
1	190	94925
2	198	65937
3	207	51592
4	215	42814
5	223	36964
6	229	32601
7	236	29344
8	243	26795
9	249	24698
10	257	23110
11	263	21723
12	271	20605
13	278	19582
14	284	18694
15	291	17950
16	298	17273
17	306	16710
18	313	16175
19	320	15699
20	327	15279
21	334	14878
22	342	14528
23	348	14171
24	356	13885
25	362	13579
26	369	13322
27	376	13059
28	382	12823
29	390	12619
30	396	12396
31	403	12205
32	410	12019
33	417	11850
34	424	11691
35	430	11527
36	437	11387
37	443	11235
38	450	11101
39	457	10987
40	464	10857
41	471	10751
42	477	10631
43	484	10519
44	491	10420
45	497	10317
46	504	10231
47	510	10134
48	518	10059
49	525	9980
50	532	9901
51	539	9827
52	545	9744
53	553	9696
54	562	9672
55	573	9665
56	582	9639
57	590	9586
58	598	9544
59	605	9488
60	612	9424
61	619	9368
62	625	9304
63	632	9246
64	638	9190
65	645	9132
66	652	9086
67	658	9030
68	666	8989
69	672	8935
70	679	8887
71	686	8852
72	692	8799
73	700	8761
74	706	8713
75	712	8666
76	719	8625
77	725	8575
78	732	8537
79	738	8497
80	745	8457
81	752	8423
82	759	8385
83	766	8353
84	772	8315
85	779	8279
86	785	8238
87	791	8199
88	798	8174
89	805	8141
90	811	8107
91	818	8078
92	824	8037
93	830	8008
94	837	7981
95	844	7951
96	851	7925
97	857	7890
98	864	7863
99	869	7828
100	876	7797
101	883	7777
102	889	7746
103	896	7721
104	902	7693
105	909	7669
106	916	7651
107	922	7622
108	929	7599
109	936	7574
110	942	7549
111	949	7529
112	955	7501
113	962	7483
114	969	7462
115	976	7439
116	983	7423
117	990	7400
118	996	7380
119	1003	7357
120	1009	7336
121	1016	7316
122	1023	7294
123	1030	7278
124	1036	7258
125	1043	7241
126	1050	7223
127	1057	7201
128	1064	7185
129	1069	7158
130	1076	7141
131	1083	7125
132	1090	7105
133	1096	7089
134	1103	7069
135	1110	7054
136	1118	7043
137	1124	7024
138	1131	7011
139	1138	6992
140	1146	6981
141	1153	6972
142	1177	7058
143	1185	7046
144	1192	7029
145	1200	7023
146	1208	7015
147	1216	7002
148	1223	6988
149	1230	6973
150	1236	6954
151	1245	6950
152	1252	6934
153	1259	6920
154	1267	6907
155	1274	6897
156	1282	6886
157	1290	6876
158	1299	6872
159	1307	6863
160	1315	6853
161	1322	6840
162	1329	6827
163	1335	6810
164	1343	6800
165	1350	6785
166	1358	6776
167	1366	6766
168	1373	6754
169	1381	6746
170	1388	6732
171	1397	6725
172	1403	6711
173	1410	6696
174	1417	6680
175	1424	6668
176	1432	6658
177	1438	6643
178	1445	6631
179	1453	6623
180	1461	6612
181	1468	6600
182	1476	6591
183	1483	6580
184	1492	6573
185	1499	6563
186	1509	6563
187	1517	6553
188	1526	6548
189	1532	6534
190	1541	6530
191	1548	6518
192	1557	6511
193	1563	6497
194	1571	6489
195	1580	6481
196	1587	6472
197	1594	6460
198	1601	6445
199	1609	6437
200	1618	6432
201	1627	6428
202	1633	6414
203	1640	6402
204	1648	6391
205	1655	6379
206	1662	6368
207	1669	6356
208	1676	6345
209	1683	6333
210	1692	6327
211	1700	6321
212	1709	6316
213	1717	6306
214	1725	6301
215	1732	6288
216	1739	6277
217	1746	6266
218	1755	6258
219	1762	6250
220	1770	6241
221	1778	6231
222	1786	6224
223	1793	6213
224	1801	6206
225	1810	6199
226	1816	6185
227	1824	6176
228	1831	6165
229	1839	6156
230	1846	6146
231	1854	6139
232	1861	6129
233	1869	6120
234	1878	6115
235	1886	6107
236	1893	6096
237	1900	6083
238	1907	6074
239	1914	6061
240	1921	6052
241	1928	6040
242	1937	6034
243	1944	6025
244	1953	6018
245	1960	6008
246	1968	6000
247	1975	5989
248	1982	5979
249	1990	5970
250	1997	5961
251	2005	5953
252	2013	5943
253	2020	5933
254	2026	5921
255	2034	5914
256	2042	5905
257	2050	5897
258	2057	5886
259	2065	5878
260	2074	5874
261	2082	5866
262	2090	5858
263	2097	5848
264	2105	5840
265	2112	5829
266	2119	5817
267	2125	5806
268	2134	5800
269	2141	5790
270	2149	5782
271	2157	5774
272	2166	5768
273	2174	5762
274	2183	5755
275	2191	5748
276	2217	5788
277	2225	5779
